code,word1_weight,word2_weight,word3_weight,word4_weight,word5_weight,year
502,63,34,0,0,3,2014
630,52,41,1,0,6,2014
559,37,58,5,0,0,2014
757,47,41,4,4,4,2014
506,35,53,4,4,4,2014
736,55,40,3,0,2,2014
514,62,31,3,1,3,2014
523,32,65,0,2,1,2014
754,16,67,17,0,0,2014
767,33,67,0,0,0,2014
637,21,60,3,1,15,2014
648,36,52,2,7,3,2014
519,34,51,4,5,6,2014
564,33,61,5,1,0,2014
517,47,45,4,0,4,2014
584,32,68,0,0,0,2014
575,39,53,1,0,7,2014
759,43,57,0,0,0,2014
602,39,50,4,3,4,2014
868,32,58,7,0,3,2014
515,48,48,3,0,1,2014
598,27,73,0,0,0,2014
510,44,48,3,2,3,2014
752,47,43,2,4,4,2014
546,56,42,1,0,1,2014
604,22,62,3,0,13,2014
522,45,52,0,0,3,2014
535,34,58,4,1,3,2014
673,38,56,1,0,5,2014
600,53,37,0,0,10,2014
623,48,41,4,2,5,2014
682,35,62,0,0,3,2014
542,45,53,1,1,0,2014
751,35,56,6,1,2,2014
679,17,74,1,1,7,2014
505,37,54,4,2,3,2014
606,53,47,0,0,0,2014
676,18,78,3,0,1,2014
765,38,38,16,4,4,2014
565,62,38,0,0,0,2014
516,42,56,2,0,0,2014
801,37,47,4,2,10,2014
802,50,38,12,0,0,2014
649,45,50,0,0,5,2014
745,50,50,0,0,0,2014
724,30,66,2,0,2,2014
513,40,54,3,0,3,2014
570,41,53,1,1,4,2014
866,37,46,8,4,5,2014
571,46,37,6,1,10,2014
670,40,51,1,3,5,2014
509,38,55,7,0,0,2014
592,28,64,2,2,4,2014
798,0,0,0,0,0,2014
773,50,50,0,0,0,2014
563,39,51,6,0,4,2014
755,0,100,0,0,0,2014
658,37,52,5,0,6,2014
518,53,34,4,3,6,2014
545,27,60,2,3,8,2014
567,37,55,3,0,5,2014
647,0,100,0,0,0,2014
636,38,19,28,6,9,2014
566,45,41,7,3,4,2014
569,47,43,3,7,0,2014
533,41,49,4,3,3,2014
710,54,37,1,0,8,2014
766,0,100,0,0,0,2014
744,47,45,2,1,5,2014
618,46,39,8,3,4,2014
691,47,50,1,1,1,2014
758,63,25,0,0,12,2014
527,46,45,4,1,4,2014
718,45,50,0,0,5,2014
639,18,76,6,0,0,2014
561,48,40,5,6,1,2014
574,57,39,0,0,4,2014
734,40,60,0,0,0,2014
603,22,30,0,0,48,2014
747,0,0,0,0,0,2014
616,29,61,4,2,4,2014
557,36,56,2,1,5,2014
702,21,77,0,0,2,2014
582,55,45,0,0,0,2014
642,49,28,6,3,14,2014
643,50,50,0,0,0,2014
551,43,53,0,0,4,2014
749,45,33,22,0,0,2014
839,47,44,6,1,2,2014
541,36,58,1,2,3,2014
558,31,69,0,0,0,2014
722,25,61,3,1,10,2014
693,48,43,4,1,4,2014
803,47,38,8,3,4,2014
529,46,48,1,1,4,2014
651,60,35,5,0,0,2014
503,47,43,0,0,10,2014
669,27,58,6,2,7,2014
737,5,95,0,0,0,2014
553,63,37,0,0,0,2014
813,50,50,0,0,0,2014
640,47,45,2,0,6,2014
711,80,20,0,0,0,2014
528,43,35,11,4,7,2014
617,33,56,5,3,3,2014
613,3,97,0,0,0,2014
687,20,67,3,0,10,2014
762,44,52,4,0,0,2014
686,48,43,5,0,4,2014
628,45,46,9,0,0,2014
828,44,44,4,4,4,2014
698,56,38,3,0,3,2014
659,41,49,3,2,5,2014
622,59,33,2,1,5,2014
501,44,38,6,5,7,2014
544,45,44,3,0,8,2014
740,0,0,0,0,0,2014
633,61,27,6,0,6,2014
650,44,42,5,2,7,2014
652,30,62,4,1,3,2014
534,48,38,4,3,7,2014
631,24,72,0,0,4,2014
632,43,52,1,0,4,2014
804,57,36,0,7,0,2014
656,36,50,14,0,0,2014
597,27,73,0,0,0,2014
675,37,47,0,0,16,2014
504,42,48,4,3,3,2014
753,41,44,7,3,5,2014
508,45,45,4,1,5,2014
820,33,56,7,1,3,2014
500,28,59,6,4,3,2014
552,0,100,0,0,0,2014
521,35,54,6,2,3,2014
717,46,54,0,0,0,2014
560,41,50,3,3,3,2014
764,36,57,7,0,0,2014
811,39,49,6,2,4,2014
556,42,46,5,5,2,2014
573,27,24,40,7,2,2014
611,10,84,4,0,2,2014
538,48,37,1,6,8,2014
610,45,49,3,0,3,2014
862,41,47,5,4,3,2014
576,43,43,4,0,10,2014
770,31,48,7,5,9,2014
661,75,25,0,0,0,2014
641,43,43,7,3,4,2014
825,45,40,7,3,5,2014
807,39,42,7,5,7,2014
855,28,56,8,4,4,2014
507,49,45,3,0,3,2014
819,41,48,4,3,4,2014
657,44,56,0,0,0,2014
612,54,39,1,4,2,2014
624,20,68,8,0,4,2014
725,27,59,0,0,14,2014
588,53,42,1,0,4,2014
881,44,40,12,2,2,2014
619,41,47,2,2,8,2014
543,35,47,3,10,5,2014
638,33,67,0,0,0,2014
609,41,53,2,1,3,2014
555,31,62,3,0,4,2014
530,43,49,0,3,5,2014
539,43,41,3,3,10,2014
581,42,54,0,0,4,2014
547,36,45,6,4,9,2014
605,26,64,7,0,3,2014
540,31,56,10,0,3,2014
531,29,65,6,0,0,2014
789,45,45,3,3,4,2014
671,55,32,2,1,10,2014
760,37,63,0,0,0,2014
709,57,43,0,0,0,2014
526,36,59,5,0,0,2014
626,60,20,20,0,0,2014
625,48,41,6,3,2,2014
511,46,41,5,3,5,2014
549,13,81,0,0,6,2014
705,32,66,0,0,2,2014
548,44,40,9,2,5,2014
554,65,28,0,7,0,2014
627,64,36,0,0,0,2014
678,47,43,3,1,6,2014
577,48,36,3,1,12,2014
550,56,23,11,5,5,2014
810,45,49,3,0,3,2014
536,55,33,6,6,0,2014
771,56,33,11,0,0,2014
596,33,67,0,0,0,2014
662,64,27,9,0,0,2015
525,39,58,3,0,0,2015
532,47,47,1,5,0,2015
790,31,48,2,12,7,2015
644,47,47,6,0,0,2015
583,0,0,0,0,0,2015
634,50,37,4,0,9,2015
743,46,50,0,0,4,2015
524,44,46,4,2,4,2015
520,44,53,1,0,2,2015
635,46,39,5,5,5,2015
800,58,27,10,0,5,2015
512,50,40,3,2,5,2015
537,14,76,7,0,3,2015
716,45,51,0,1,3,2015
692,54,38,8,0,0,2015
821,36,55,9,0,0,2015
756,27,64,9,0,0,2015
746,48,44,8,0,0,2015
502,35,54,8,0,3,2015
630,43,51,2,2,2,2015
559,23,77,0,0,0,2015
757,40,47,4,3,6,2015
506,38,48,6,4,4,2015
736,51,47,2,0,0,2015
514,48,40,3,4,5,2015
523,36,51,7,2,4,2015
754,25,75,0,0,0,2015
767,28,72,0,0,0,2015
637,24,60,2,2,12,2015
648,40,50,4,0,6,2015
519,42,54,2,0,2,2015
564,35,55,2,2,6,2015
517,46,46,2,3,3,2015
584,43,48,7,0,2,2015
575,54,41,4,1,0,2015
759,59,33,8,0,0,2015
602,30,62,3,2,3,2015
868,47,47,3,0,3,2015
515,36,54,3,3,4,2015
598,43,54,3,0,0,2015
510,42,50,4,2,2,2015
752,47,41,3,5,4,2015
