code,year,sinclair_present,years_before
555,2005,TRUE,1
555,2006,TRUE,2
555,2007,TRUE,3
555,2008,TRUE,4
555,2009,TRUE,5
555,2010,TRUE,6
555,2011,TRUE,7
555,2012,TRUE,8
555,2013,TRUE,9
555,2014,TRUE,10
555,2015,TRUE,11
555,2016,TRUE,12
555,2017,TRUE,13
555,2018,TRUE,14
555,2019,TRUE,15
555,2020,TRUE,16
556,2004,TRUE,-0
556,2005,TRUE,1
556,2006,TRUE,2
556,2007,TRUE,3
556,2008,TRUE,4
556,2009,TRUE,5
556,2010,TRUE,6
556,2011,TRUE,7
556,2012,TRUE,8
556,2013,TRUE,9
556,2014,TRUE,10
556,2015,TRUE,11
556,2016,TRUE,12
556,2017,TRUE,13
556,2018,TRUE,14
556,2019,TRUE,15
556,2020,TRUE,16
557,2004,FALSE,-99
557,2005,FALSE,-99
557,2006,FALSE,-99
557,2007,FALSE,-99
557,2008,FALSE,-99
557,2009,FALSE,-99
557,2010,FALSE,-99
557,2011,FALSE,-99
557,2012,FALSE,-99
557,2013,FALSE,-99
557,2014,FALSE,-99
557,2015,FALSE,-99
557,2016,FALSE,-99
557,2017,FALSE,-99
557,2018,FALSE,-99
557,2019,FALSE,-99
557,2020,FALSE,-99
558,2004,FALSE,-99
558,2005,FALSE,-99
558,2006,FALSE,-99
558,2007,FALSE,-99
558,2008,FALSE,-99
558,2009,FALSE,-99
558,2010,FALSE,-99
558,2011,FALSE,-99
558,2012,FALSE,-99
558,2013,FALSE,-99
558,2014,FALSE,-99
558,2015,FALSE,-99
558,2016,FALSE,-99
558,2017,FALSE,-99
558,2018,FALSE,-99
558,2019,FALSE,-99
558,2020,FALSE,-99
559,2004,FALSE,-99
559,2005,FALSE,-99
559,2006,FALSE,-99
559,2007,FALSE,-99
559,2008,FALSE,-99
559,2009,FALSE,-99
559,2010,FALSE,-99
559,2011,FALSE,-99
559,2012,FALSE,-99
559,2013,FALSE,-99
559,2014,FALSE,-99
559,2015,FALSE,-99
559,2016,FALSE,-99
559,2017,FALSE,-99
559,2018,FALSE,-99
559,2019,FALSE,-99
559,2020,FALSE,-99
560,2004,TRUE,-0
560,2005,TRUE,1
560,2006,TRUE,2
560,2007,TRUE,3
560,2008,TRUE,4
560,2009,TRUE,5
560,2010,TRUE,6
560,2011,TRUE,7
560,2012,TRUE,8
560,2013,TRUE,9
560,2014,TRUE,10
560,2015,TRUE,11
560,2016,TRUE,12
560,2017,TRUE,13
560,2018,TRUE,14
560,2019,TRUE,15
560,2020,TRUE,16
561,2004,FALSE,-99
561,2005,FALSE,-99
561,2006,FALSE,-99
561,2007,FALSE,-99
561,2008,FALSE,-99
561,2009,FALSE,-99
561,2010,FALSE,-99
561,2011,FALSE,-99
561,2012,FALSE,-99
561,2013,FALSE,-99
561,2014,FALSE,-99
561,2015,FALSE,-99
561,2016,FALSE,-99
561,2017,FALSE,-99
561,2018,FALSE,-99
561,2019,FALSE,-99
561,2020,FALSE,-99
563,2004,FALSE,-7
563,2005,FALSE,-6
563,2006,FALSE,-5
563,2007,FALSE,-4
563,2008,FALSE,-3
563,2009,FALSE,-2
563,2010,FALSE,-1
563,2011,TRUE,-0
563,2012,TRUE,1
563,2013,TRUE,2
563,2014,TRUE,3
563,2015,TRUE,4
563,2016,TRUE,5
563,2017,TRUE,6
563,2018,TRUE,7
563,2019,TRUE,8
563,2020,TRUE,9
564,2004,TRUE,-0
564,2005,TRUE,1
564,2006,TRUE,2
564,2007,TRUE,3
564,2008,TRUE,4
564,2009,TRUE,5
564,2010,TRUE,6
564,2011,TRUE,7
564,2012,TRUE,8
564,2013,TRUE,9
564,2014,TRUE,10
564,2015,TRUE,11
564,2016,TRUE,12
564,2017,TRUE,13
564,2018,TRUE,14
564,2019,TRUE,15
564,2020,TRUE,16
565,2004,FALSE,-99
565,2005,FALSE,-99
565,2006,FALSE,-99
565,2007,FALSE,-99
565,2008,FALSE,-99
565,2009,FALSE,-99
565,2010,FALSE,-99
565,2011,FALSE,-99
565,2012,FALSE,-99
565,2013,FALSE,-99
565,2014,FALSE,-99
565,2015,FALSE,-99
565,2016,FALSE,-99
565,2017,FALSE,-99
565,2018,FALSE,-99
565,2019,FALSE,-99
